source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,RT @realDonaldTrump: With interest rates for the United States being at ZERO this is the time to do our decades long awaited Infrastructur…,3/31/2020 16:04,38519,0,TRUE,1.24502E+18
Twitter for iPhone,RT @realDonaldTrump: I watched a portion of low rated (very) Morning Psycho (Joe) this Morning in order to see what Nancy Pelosi had to say…,3/31/2020 16:04,27705,0,TRUE,1.24502E+18
Twitter for iPhone,RT @realDonaldTrump: https://t.co/nzWJ8ViwbZ,3/31/2020 15:15,39111,0,TRUE,1.24501E+18
Twitter for iPhone,RT @CHIZMAGA: Donald Trump donated his salary to fight the virus Nancy Pelosi asked for a raise.This is all you really need to know.,3/31/2020 15:13,31400,0,TRUE,1.24501E+18
Twitter for iPhone,RT @RudyGiuliani: A great comfort to the City during 9/11. It is once again a great comfort. Thank you ⁦@realDonaldTrump⁩. https://t.co/pxH…,3/31/2020 15:12,12723,0,TRUE,1.24501E+18
Twitter for iPhone,RT @charliekirk11: Does anyone else find it strange:Just three days after Attorney General Barr announces the DOJ will prosecute hoarders…,3/31/2020 15:11,25104,0,TRUE,1.24501E+18
Twitter for iPhone,RT @TrumpWarRoom: WATCH: Despite looking down at his notes during his TV interview Joe Biden was still unable to make any sense. https://t…,3/31/2020 15:11,10554,0,TRUE,1.24501E+18
Twitter for iPhone,"RT @kayleighmcenany: BOOM: @realDonaldTrump obliterates CNN ⬇️I want to keep the country calm.The coronavirus will go away.""We're…,03-31-2020 15:10:19,11630,0,true,1245005512367910913",,,,,
Twitter for iPhone,RT @Jim_Jordan: Congratulations to @MarkMeadows.Mark is a dedicated public servant. He'll do a great job for President Trump and our co…,3/31/2020 15:02,11880,0,TRUE,1.245E+18
Twitter for iPhone,RT @Scavino45: 🚨@Ford to produce 50000 ventilators in Michigan in next 100 days; partnering with @GEHealthcare#COVID19 #COVID19Updatesht…,3/31/2020 15:00,5596,0,TRUE,1.245E+18
Twitter for iPhone,RT @realDonaldTrump: On #NationalDoctorsDay we recognize the remarkable men &amp; women who treat their fellow Americans find cures for the d…,3/31/2020 15:00,19783,0,TRUE,1.245E+18
Twitter for iPhone,RT @RepMattGaetz: Our doctors and healthcare professionals are on the front lines of the coronavirus pandemic. Our prayers are with you as…,3/31/2020 14:56,5525,0,TRUE,1.245E+18
Twitter for iPhone,Thank you Mike! https://t.co/RqiQ6YdQkf,3/31/2020 14:55,12267,61580,FALSE,1.245E+18
Twitter for iPhone,RT @dbongino: Cuomo: People are stealing medical supplies from hospitalsTrump: People are stealing medical supplies from hospitalsCuomo:…,3/31/2020 14:52,17470,0,TRUE,1.245E+18
Twitter for iPhone,With interest rates for the United States being at ZERO this is the time to do our decades long awaited Infrastructure Bill. It should be VERY BIG &amp; BOLD Two Trillion Dollars and be focused solely on jobs and rebuilding the once great infrastructure of our Country! Phase 4,3/31/2020 14:48,38519,175423,FALSE,1.245E+18
Twitter for iPhone,I watched a portion of low rated (very) Morning Psycho (Joe) this Morning in order to see what Nancy Pelosi had to say &amp; what moves she was planning to further hurt our Country. Actually other than her usual complaining that I’m a terrible person she wasn’t bad. Still praying!,3/31/2020 13:18,27705,156582,FALSE,1.24498E+18
Twitter for iPhone,“New York Governor Cuomo says President Trump has been “very helpful.” @foxandfriends  Thank you everybody is working very hard!,3/31/2020 11:27,19323,121928,FALSE,1.24495E+18
Twitter for iPhone,https://t.co/Zt3mEb1h99,3/30/2020 22:24,39709,144626,FALSE,1.24475E+18
Twitter for iPhone,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/MLnQHuBDwj,3/30/2020 21:13,8613,0,TRUE,1.24473E+18
Twitter for iPhone,White House news conference at 5:00 P.M. Eastern. Thank you!,3/30/2020 20:50,14502,107923,FALSE,1.24473E+18
Twitter for iPhone,https://t.co/2hKJkP5Z6N,3/30/2020 17:46,15543,67460,FALSE,1.24468E+18
Twitter for iPhone,On #NationalDoctorsDay we recognize the remarkable men &amp; women who treat their fellow Americans find cures for the diseases &amp; illnesses we face and never waver in their efforts to treat every patient with the dignity respect and empathy they deserve. https://t.co/7PRogpEVTP,3/30/2020 17:11,19783,82529,FALSE,1.24467E+18
Twitter for iPhone,https://t.co/nzWJ8ViwbZ,3/30/2020 17:05,39111,173154,FALSE,1.24467E+18
